runner_id,date,type_seance,distance,duree,allure,fc_moyenne,elevation
R003,2025-04-26,Endurance,17.0,97.5,5.75,141,14
R003,2025-04-20,Fractionné,8.5,39.8,4.7,163,49
R003,2025-04-12,Endurance,14.6,83.9,5.75,141,37
R003,2025-03-07,Endurance,17.0,97.4,5.75,141,44
R003,2025-01-28,Tempo,8.8,45.8,5.22,155,4
R003,2025-04-20,Endurance,15.6,89.9,5.75,141,26
R003,2025-02-06,Tempo,9.8,51.1,5.22,155,23
R003,2025-05-14,Fractionné,7.3,34.3,4.7,163,31
R003,2025-04-24,Endurance,14.9,85.6,5.75,141,38
R003,2025-03-02,Fractionné,6.6,31.1,4.7,163,8
R003,2024-12-18,Tempo,11.5,60.2,5.22,155,21
R003,2025-05-30,Fractionné,10.1,47.3,4.7,163,16
R003,2025-02-26,Fractionné,10.5,49.3,4.7,163,21
R003,2025-01-10,Endurance,8.1,46.8,5.75,141,22
R003,2025-05-02,Tempo,10.7,55.9,5.22,155,47
R003,2025-05-12,Endurance,16.5,94.6,5.75,141,36
R003,2025-04-25,Fractionné,7.8,36.6,4.7,163,32
R003,2025-05-19,Endurance,15.8,91.1,5.75,141,42
R003,2025-05-21,Fractionné,7.4,35.0,4.7,163,9
R003,2025-04-06,Endurance,21.7,125.0,5.75,141,13
R003,2025-05-28,Endurance,15.9,91.4,5.75,141,18
R003,2025-04-09,Endurance,15.0,86.0,5.75,141,8
R003,2025-06-05,Fractionné,11.2,52.8,4.7,163,2
R003,2025-02-24,Endurance,15.9,91.6,5.75,141,41
R003,2025-05-18,Tempo,10.9,56.9,5.22,155,0
R003,2025-05-23,Endurance,15.0,86.4,5.75,141,28
R003,2025-01-20,Endurance,15.5,89.2,5.75,141,25
R003,2024-12-29,Endurance,17.2,98.6,5.75,141,6
R003,2025-02-08,Tempo,10.9,57.1,5.22,155,48
R003,2025-02-12,Fractionné,6.4,30.2,4.7,163,2
R003,2025-01-10,Tempo,12.8,67.0,5.22,155,15
R003,2025-01-06,Tempo,12.9,67.3,5.22,155,0
R003,2025-03-15,Fractionné,11.1,52.0,4.7,163,43
R003,2025-06-09,Endurance,14.0,80.2,5.75,141,6
R003,2025-05-18,Endurance,12.3,70.7,5.75,141,29
R003,2025-02-07,Fractionné,11.4,53.7,4.7,163,47
R003,2025-04-27,Fractionné,8.3,39.2,4.7,163,39
R003,2025-01-17,Fractionné,9.3,43.6,4.7,163,48
R003,2025-06-03,Endurance,14.5,83.1,5.75,141,12
R003,2025-01-26,Seuil,11.9,61.9,5.22,141,28
R003,2025-04-14,Endurance,12.4,71.5,5.75,141,13
R003,2025-02-14,Tempo,12.9,67.6,5.22,155,3
R003,2025-02-10,Tempo,12.6,65.8,5.22,155,42
R003,2025-03-18,Endurance,14.4,82.6,5.75,141,42
R003,2025-04-21,Tempo,11.4,59.5,5.22,155,27
R003,2025-05-20,Fractionné,10.6,50.0,4.7,163,14
R003,2025-01-29,Endurance,16.0,91.8,5.75,141,36
R003,2025-04-03,Fractionné,10.8,50.9,4.7,163,16
R003,2025-03-21,Tempo,12.3,64.5,5.22,155,28
R003,2025-02-09,Endurance,18.9,108.6,5.75,141,8
R003,2025-04-18,Fractionné,10.5,49.4,4.7,163,16
R003,2025-05-05,Fractionné,9.6,45.1,4.7,163,25
R003,2025-01-17,Fractionné,9.2,43.5,4.7,163,41
R003,2025-02-26,Endurance,11.7,67.5,5.75,141,7
R003,2025-03-26,Endurance,17.4,99.8,5.75,141,39
R003,2025-04-21,Endurance,14.7,84.4,5.75,141,14
R003,2025-03-02,Endurance,17.3,99.3,5.75,141,1
R003,2025-06-08,Endurance,16.1,92.7,5.75,141,31
R003,2025-04-04,Endurance,17.7,101.5,5.75,141,37
R003,2025-05-27,Tempo,9.6,50.0,5.22,155,29
R003,2025-06-03,Fractionné,8.8,41.3,4.7,163,45
R003,2024-12-25,Tempo,13.8,71.9,5.22,155,9
R003,2025-04-23,Endurance,16.8,96.6,5.75,141,32
R003,2025-01-09,Endurance,17.0,97.9,5.75,141,36
R003,2025-02-13,Endurance,17.4,99.9,5.75,141,14
R004,2025-02-10,Endurance,9.5,63.3,6.66,143,49
R004,2025-06-06,Endurance,11.3,74.9,6.66,143,39
R004,2025-02-27,Tempo,13.9,84.2,6.05,159,10
R004,2025-04-16,Endurance,9.3,62.2,6.66,143,47
R004,2025-01-08,Fractionné,8.0,43.3,5.45,166,30
R004,2025-03-13,Tempo,14.0,84.7,6.05,159,44
R004,2025-03-13,Endurance,9.7,64.7,6.66,143,48
R004,2025-01-16,Endurance,8.9,59.4,6.66,143,20
R004,2025-05-19,Endurance,7.5,50.2,6.66,143,37
R004,2025-05-20,Tempo,12.4,74.8,6.05,159,31
R004,2025-03-22,Endurance,11.3,75.2,6.66,143,14
R004,2025-03-21,Fractionné,8.5,46.2,5.45,166,9
R004,2025-03-05,Endurance,13.4,89.4,6.66,143,42
R004,2025-05-14,Endurance,8.9,59.5,6.66,143,18
R004,2025-03-09,Fractionné,11.6,63.0,5.45,166,27
R004,2025-02-09,Endurance,9.3,62.0,6.66,143,48
R004,2025-05-31,Tempo,12.2,73.5,6.05,159,10
R004,2025-01-13,Endurance,4.1,27.3,6.66,143,17
R004,2025-05-16,Endurance,11.0,73.4,6.66,143,20
R004,2025-06-02,Endurance,9.6,63.9,6.66,143,40
R004,2025-02-09,Endurance,7.3,48.7,6.66,143,18
R004,2025-02-15,Endurance,11.6,77.5,6.66,143,3
R004,2025-05-04,Endurance,10.1,67.2,6.66,143,16
R004,2025-03-15,Fractionné,6.4,34.6,5.45,166,49
R004,2025-04-03,Endurance,8.9,59.0,6.66,143,42
R004,2024-12-24,Endurance,11.1,73.8,6.66,143,27
R004,2025-03-12,Endurance,10.4,69.5,6.66,143,12
R004,2025-02-16,Endurance,10.7,71.1,6.66,143,25
R004,2025-02-25,Endurance,9.5,63.3,6.66,143,39
R004,2025-01-24,Endurance,9.8,65.0,6.66,143,29
R004,2025-04-19,Endurance,9.0,60.1,6.66,143,15
R004,2025-06-04,Endurance,10.8,71.7,6.66,143,46
R004,2025-06-06,Endurance,9.2,61.5,6.66,143,22
R004,2025-03-10,Tempo,8.9,53.7,6.05,159,19
R004,2025-01-18,Tempo,12.4,74.8,6.05,159,7
R004,2025-03-17,Tempo,8.9,53.8,6.05,159,38
R004,2025-02-03,Fractionné,10.9,59.4,5.45,166,41
R004,2025-03-16,Endurance,12.8,85.0,6.66,143,6
R004,2025-03-30,Endurance,10.4,69.4,6.66,143,19
R004,2025-01-31,Endurance,6.5,43.5,6.66,143,39
R004,2025-04-30,Endurance,9.0,59.9,6.66,143,7
R004,2025-03-15,Endurance,9.2,61.0,6.66,143,48
R004,2025-05-25,Endurance,8.8,58.4,6.66,143,31
R004,2025-01-17,Endurance,9.2,61.0,6.66,143,37
R005,2025-04-18,Endurance,6.9,46.2,6.66,133,21
R005,2025-04-21,Tempo,12.9,78.3,6.05,147,45
R005,2025-03-18,Endurance,8.5,56.4,6.66,133,127
R005,2025-05-13,Endurance,6.4,42.3,6.66,133,111
R005,2025-02-10,Endurance,6.4,42.6,6.66,133,56
R005,2025-03-28,Endurance,5.4,36.1,6.66,133,8
R005,2025-01-03,Tempo,12.0,72.7,6.05,147,114
R005,2025-05-29,Endurance,6.7,44.8,6.66,133,31
R005,2025-04-28,Fractionné,6.1,33.2,5.45,154,81
R005,2025-02-27,Tempo,11.4,69.3,6.05,147,171
R005,2025-01-19,Tempo,10.5,63.7,6.05,147,47
R005,2024-12-30,Endurance,5.2,34.3,6.66,133,38
R005,2025-03-11,Endurance,6.6,43.7,6.66,133,76
R005,2025-03-12,Tempo,10.8,65.5,6.05,147,38
R005,2025-02-22,Endurance,8.3,55.0,6.66,133,159
R005,2025-05-27,Tempo,9.2,55.4,6.05,147,194
R005,2025-05-17,Endurance,7.6,50.7,6.66,133,95
R005,2025-05-27,Fractionné,9.4,51.3,5.45,154,184
R005,2024-12-18,Endurance,6.3,41.6,6.66,133,98
R005,2025-04-29,Endurance,6.7,44.3,6.66,133,30
R005,2025-03-15,Tempo,9.2,55.8,6.05,147,88
R005,2025-04-18,Endurance,5.4,36.0,6.66,133,83
R005,2025-04-18,Endurance,7.2,48.0,6.66,133,80
R005,2025-05-25,Endurance,8.1,54.0,6.66,133,142
R005,2024-12-29,Endurance,6.7,44.6,6.66,133,58
R005,2025-04-02,Fractionné,8.8,48.0,5.45,154,155
R005,2024-12-28,Endurance,7.3,48.3,6.66,133,144
R005,2025-01-11,Fractionné,10.6,57.8,5.45,154,93
R005,2025-03-04,Endurance,6.7,44.5,6.66,133,115
R005,2025-05-04,Fractionné,9.1,49.3,5.45,154,52
R005,2025-04-19,Endurance,3.7,24.9,6.66,133,160
R005,2025-02-07,Endurance,6.1,40.8,6.66,133,74
R005,2025-03-20,Endurance,6.9,45.8,6.66,133,31
R005,2024-12-27,Endurance,6.7,44.5,6.66,133,135
R005,2025-02-22,Fractionné,10.2,55.4,5.45,154,106
R005,2025-01-23,Endurance,6.6,44.1,6.66,133,138
R005,2025-03-25,Endurance,5.6,37.0,6.66,133,84
R005,2025-05-29,Fractionné,8.3,45.3,5.45,154,177
R005,2025-03-24,Endurance,7.5,49.9,6.66,133,191
R005,2025-02-04,Endurance,5.7,38.0,6.66,133,87
R005,2025-01-30,Endurance,4.4,29.1,6.66,133,193
R005,2025-02-13,Endurance,8.1,53.8,6.66,133,5
R005,2025-05-08,Endurance,8.7,58.1,6.66,133,27
R005,2025-01-19,Fractionné,11.3,61.6,5.45,154,67
R005,2025-06-07,Endurance,7.8,51.9,6.66,133,187
R005,2025-03-05,Endurance,7.9,52.3,6.66,133,98
R005,2025-03-26,Endurance,6.5,43.5,6.66,133,199
R005,2025-04-05,Fractionné,6.4,34.7,5.45,154,136
R005,2025-04-02,Endurance,6.8,45.3,6.66,133,75
R005,2025-01-12,Endurance,6.4,42.8,6.66,133,33
R005,2025-02-17,Endurance,7.1,47.5,6.66,133,117
R005,2025-02-23,Tempo,13.3,80.3,6.05,147,9
R005,2025-02-17,Endurance,6.3,41.6,6.66,133,104
R005,2025-01-25,Endurance,8.4,56.1,6.66,133,161
R005,2025-03-17,Endurance,5.5,36.3,6.66,133,175
R005,2025-04-03,Endurance,7.8,52.1,6.66,133,88
R005,2025-02-16,Endurance,5.4,36.1,6.66,133,176
R005,2025-04-07,Endurance,4.1,27.0,6.66,133,189
R005,2025-04-07,Endurance,4.0,26.8,6.66,133,179
R005,2025-01-27,Endurance,6.4,42.7,6.66,133,120
R005,2025-04-13,Endurance,6.1,40.9,6.66,133,46
R005,2025-03-13,Fractionné,10.9,59.5,5.45,154,103
R005,2025-05-12,Endurance,7.4,49.5,6.66,133,39
R006,2025-04-29,Endurance,5.9,46.0,7.87,127,180
R006,2025-02-05,Endurance,6.1,48.1,7.87,127,186
R006,2025-03-24,Endurance,6.2,48.6,7.87,127,192
R006,2025-03-26,Endurance,5.2,40.8,7.87,127,29
R006,2024-12-23,Endurance,3.9,30.7,7.87,127,188
R006,2025-04-16,Tempo,14.9,106.4,7.15,141,102
R006,2025-05-23,Endurance,6.7,52.7,7.87,127,51
R006,2025-03-11,Endurance,4.2,32.8,7.87,127,110
R006,2025-04-20,Endurance,5.7,45.0,7.87,127,190
R006,2025-05-31,Tempo,13.7,98.3,7.15,141,165
R006,2025-03-21,Endurance,7.4,58.1,7.87,127,16
R006,2025-03-12,Endurance,5.4,42.3,7.87,127,165
R006,2025-03-03,Endurance,6.2,48.4,7.87,127,13
R006,2025-02-22,Tempo,13.8,98.4,7.15,141,26
R006,2024-12-25,Endurance,7.0,55.1,7.87,127,162
R006,2025-02-10,Endurance,6.2,49.0,7.87,127,161
R006,2025-01-07,Fractionné,7.9,50.6,6.44,147,133
R006,2025-02-09,Endurance,6.5,51.4,7.87,127,145
R006,2025-04-23,Endurance,5.6,44.0,7.87,127,127
R006,2025-01-25,Endurance,6.2,48.8,7.87,127,18
R006,2025-02-13,Fractionné,10.0,64.2,6.44,147,80
R006,2025-05-24,Endurance,3.4,26.6,7.87,127,175
R006,2025-01-25,Tempo,12.3,87.8,7.15,141,144
R006,2025-02-21,Endurance,7.4,58.0,7.87,127,64
R006,2025-03-21,Endurance,8.1,63.6,7.87,127,141
R006,2025-05-26,Endurance,5.0,39.1,7.87,127,67
R006,2025-01-21,Endurance,4.6,35.9,7.87,127,193
R006,2025-01-12,Endurance,5.6,44.4,7.87,127,135
R006,2025-01-05,Fractionné,7.6,48.7,6.44,147,44
R006,2024-12-20,Endurance,3.3,25.9,7.87,127,124
R006,2025-02-07,Endurance,5.2,40.9,7.87,127,29
R006,2025-05-07,Endurance,5.4,42.6,7.87,127,97
R006,2025-06-01,Tempo,12.6,90.1,7.15,141,93
R006,2025-04-25,Fractionné,7.4,47.8,6.44,147,107
R006,2024-12-16,Tempo,11.5,82.2,7.15,141,105
R006,2025-05-07,Endurance,7.6,59.9,7.87,127,121
R006,2025-03-18,Endurance,5.8,45.8,7.87,127,119
R006,2025-04-14,Endurance,6.2,49.1,7.87,127,105
R006,2025-04-30,Tempo,12.9,92.1,7.15,141,190
R006,2025-03-03,Tempo,10.4,74.5,7.15,141,197
R006,2025-01-16,Fractionné,8.4,54.1,6.44,147,111
R006,2024-12-23,Endurance,5.8,45.5,7.87,127,17
R006,2025-04-04,Endurance,4.4,34.3,7.87,127,72
R006,2025-01-04,Endurance,5.8,45.3,7.87,127,115
R006,2025-01-11,Tempo,8.9,63.7,7.15,141,111
R006,2025-01-06,Tempo,13.1,93.4,7.15,141,57
R006,2025-03-16,Endurance,7.1,56.1,7.87,127,168
R007,2025-02-28,Endurance,13.2,75.9,5.75,133,10
R007,2025-03-07,Fractionné,11.8,55.7,4.7,154,191
R007,2025-04-17,Fractionné,11.6,54.4,4.7,154,41
R007,2025-02-04,Endurance,14.3,82.0,5.75,133,15
R007,2024-12-30,Fractionné,10.4,48.8,4.7,154,143
R007,2024-12-18,Fractionné,7.9,37.1,4.7,154,47
R007,2025-01-23,Tempo,10.8,56.3,5.22,147,129
R007,2025-02-09,Tempo,12.0,62.5,5.22,147,71
R007,2024-12-19,Endurance,10.8,61.8,5.75,133,123
R007,2024-12-24,Endurance,15.1,86.9,5.75,133,42
R007,2024-12-29,Endurance,11.6,66.4,5.75,133,7
R007,2025-02-19,Endurance,12.4,71.1,5.75,133,35
R007,2025-01-09,Endurance,10.6,61.1,5.75,133,150
R007,2025-05-05,Endurance,17.5,100.6,5.75,133,70
R007,2025-06-10,Endurance,9.2,52.7,5.75,133,174
R007,2025-06-04,Tempo,9.5,49.7,5.22,147,20
R007,2025-02-14,Endurance,12.9,74.3,5.75,133,54
R007,2025-01-10,Endurance,12.5,72.0,5.75,133,149
R007,2024-12-28,Endurance,10.9,62.8,5.75,133,181
R007,2025-03-22,Tempo,10.4,54.1,5.22,147,33
R007,2025-05-02,Endurance,11.2,64.2,5.75,133,72
R007,2025-05-08,Tempo,14.1,73.8,5.22,147,78
R007,2025-05-09,Tempo,13.8,72.0,5.22,147,81
R007,2024-12-17,Endurance,11.7,67.1,5.75,133,125
R007,2025-02-25,Endurance,11.4,65.3,5.75,133,33
R007,2025-02-27,Seuil,11.2,58.8,5.22,133,134
R007,2025-02-18,Seuil,16.4,85.4,5.22,133,127
R007,2025-05-24,Tempo,14.1,73.5,5.22,147,82
R007,2025-03-17,Endurance,17.6,101.2,5.75,133,65
R007,2025-04-07,Endurance,19.5,112.3,5.75,133,95
R007,2025-05-05,Tempo,8.2,42.7,5.22,147,158
R007,2025-03-29,Endurance,18.2,104.9,5.75,133,138
R007,2025-04-10,Endurance,16.6,95.4,5.75,133,139
R007,2025-03-17,Endurance,22.2,127.6,5.75,133,91
R007,2025-02-15,Tempo,13.5,70.4,5.22,147,198
R007,2025-04-21,Tempo,11.6,60.5,5.22,147,18
R007,2025-05-15,Endurance,17.0,97.6,5.75,133,76
R007,2025-03-27,Tempo,9.8,51.0,5.22,147,21
R007,2025-03-29,Endurance,14.8,84.9,5.75,133,79
R007,2025-05-23,Endurance,10.2,58.5,5.75,133,72
R007,2025-02-26,Endurance,20.0,115.0,5.75,133,9
R007,2025-03-18,Fractionné,11.1,52.0,4.7,154,38
R007,2025-02-10,Fractionné,10.0,47.2,4.7,154,163
R007,2025-05-13,Endurance,18.4,105.9,5.75,133,193
R007,2025-01-10,Fractionné,9.6,44.9,4.7,154,83
R007,2025-04-16,Endurance,16.5,94.6,5.75,133,148
R007,2025-04-29,Tempo,13.9,72.5,5.22,147,141
R007,2025-05-23,Seuil,13.3,69.2,5.22,133,197
R007,2025-01-17,Seuil,15.8,82.6,5.22,133,126
R007,2025-03-02,Seuil,14.8,77.6,5.22,133,95
R007,2025-05-22,Fractionné,9.7,45.6,4.7,154,37
R007,2025-05-12,Endurance,12.3,70.7,5.75,133,195
R007,2025-05-10,Tempo,12.2,63.5,5.22,147,197
R007,2025-05-01,Endurance,12.8,73.6,5.75,133,86
R007,2025-05-03,Endurance,15.5,89.3,5.75,133,144
R007,2025-05-30,Endurance,14.2,81.7,5.75,133,43
R007,2025-03-20,Endurance,15.8,90.8,5.75,133,122
R007,2025-03-01,Fractionné,6.1,28.6,4.7,154,98
R007,2024-12-29,Tempo,9.0,47.2,5.22,147,189
R007,2025-01-13,Fractionné,11.7,55.2,4.7,154,34
R007,2025-04-24,Tempo,8.6,44.9,5.22,147,152
R007,2025-03-17,Endurance,17.3,99.3,5.75,133,172
R007,2025-02-19,Endurance,14.0,80.2,5.75,133,171
R007,2025-03-09,Endurance,14.3,82.2,5.75,133,166
R007,2025-02-04,Endurance,18.1,104.2,5.75,133,98
R007,2025-01-01,Tempo,13.7,71.5,5.22,147,57
R007,2025-04-02,Endurance,15.2,87.4,5.75,133,193
R007,2025-05-18,Fractionné,9.6,44.9,4.7,154,111
R007,2025-06-09,Endurance,17.5,100.3,5.75,133,107
R007,2025-03-31,Endurance,18.5,106.6,5.75,133,166
R007,2024-12-16,Endurance,17.0,97.5,5.75,133,184
R007,2025-03-08,Endurance,18.2,104.7,5.75,133,110
R007,2025-03-31,Fractionné,7.2,33.8,4.7,154,199
R007,2025-01-23,Tempo,10.0,52.1,5.22,147,150
R007,2025-01-24,Endurance,16.9,97.4,5.75,133,38
R007,2025-06-09,Tempo,11.8,61.7,5.22,147,10
R007,2025-05-15,Endurance,18.5,106.5,5.75,133,10
R007,2025-01-19,Tempo,9.9,51.7,5.22,147,133
R007,2025-06-04,Tempo,12.6,65.7,5.22,147,64
R007,2025-03-21,Fractionné,9.5,44.7,4.7,154,117
R007,2025-06-05,Endurance,13.4,77.0,5.75,133,152
R007,2025-05-01,Tempo,11.9,62.2,5.22,147,170
R007,2025-02-01,Seuil,10.2,53.1,5.22,133,87
R007,2025-04-12,Seuil,16.7,87.1,5.22,133,53
R008,2025-04-07,Endurance,11.4,75.9,6.66,123,10
R008,2025-01-30,Endurance,6.4,42.6,6.66,123,40
R008,2025-06-03,Endurance,5.6,37.6,6.66,123,27
R008,2025-04-02,Endurance,7.7,51.5,6.66,123,32
R008,2025-05-25,Endurance,10.1,67.2,6.66,123,34
R008,2025-01-11,Endurance,8.5,56.2,6.66,123,37
R008,2025-03-28,Endurance,7.9,52.7,6.66,123,37
R008,2025-02-14,Tempo,14.6,88.2,6.05,135,21
R008,2025-03-03,Fractionné,6.9,37.6,5.45,142,9
R008,2025-04-26,Endurance,6.6,44.1,6.66,123,33
R008,2024-12-16,Tempo,9.5,57.2,6.05,135,25
R008,2024-12-16,Endurance,7.2,47.6,6.66,123,29
R008,2025-06-08,Tempo,12.0,72.8,6.05,135,23
R008,2025-01-17,Endurance,8.2,54.3,6.66,123,13
R008,2025-04-12,Endurance,6.7,44.6,6.66,123,28
R008,2024-12-28,Endurance,7.4,49.5,6.66,123,36
R008,2024-12-29,Endurance,9.4,62.9,6.66,123,45
R008,2025-06-06,Endurance,11.6,77.0,6.66,123,29
R008,2025-01-17,Tempo,9.9,60.1,6.05,135,6
R008,2024-12-13,Endurance,7.3,48.7,6.66,123,25
R008,2025-03-09,Endurance,10.4,69.3,6.66,123,23
R008,2025-03-08,Endurance,5.4,36.2,6.66,123,17
R008,2025-03-17,Fractionné,6.1,33.0,5.45,142,41
R008,2025-01-14,Endurance,8.8,58.6,6.66,123,38
R008,2025-04-28,Tempo,8.1,48.9,6.05,135,28
R008,2025-05-22,Endurance,10.0,66.5,6.66,123,14
R008,2024-12-14,Endurance,7.1,47.1,6.66,123,2
R008,2025-04-26,Fractionné,8.3,45.2,5.45,142,36
R008,2025-05-22,Tempo,9.4,56.7,6.05,135,10
R008,2025-02-18,Endurance,7.7,51.4,6.66,123,3
R008,2025-04-04,Endurance,7.9,52.4,6.66,123,20
R008,2025-02-05,Endurance,9.1,60.7,6.66,123,30
R008,2025-05-03,Endurance,7.6,50.5,6.66,123,48
R008,2024-12-21,Endurance,7.9,52.5,6.66,123,21
R008,2025-05-21,Tempo,13.5,81.8,6.05,135,31
R008,2025-02-24,Endurance,10.2,68.2,6.66,123,46
R008,2025-04-22,Endurance,5.7,37.7,6.66,123,27
R008,2025-01-10,Endurance,7.8,51.6,6.66,123,12
R008,2025-03-15,Endurance,7.1,47.0,6.66,123,7
R008,2024-12-20,Tempo,9.0,54.6,6.05,135,3
R008,2025-06-09,Endurance,8.2,54.3,6.66,123,12
R008,2024-12-21,Endurance,6.8,45.2,6.66,123,12
R008,2025-02-21,Endurance,11.3,75.3,6.66,123,0
R008,2024-12-22,Fractionné,11.1,60.2,5.45,142,48
